,statement,status
0,hard to calm my mind,Anxiety
1,feeling tense for no reason,Anxiety
2,trouble relaxing at night,Anxiety
3,feeling on edge,Anxiety
4,hard to calm my mind,Anxiety
5,feeling tense for no reason,Anxiety
6,sweaty palms and racing heart,Anxiety
7,feeling tense for no reason,Anxiety
8,trouble relaxing at night,Anxiety
9,hard to calm my mind,Anxiety
10,restless and uneasy,Anxiety
11,hard to calm my mind,Anxiety
12,hard to calm my mind,Anxiety
13,trouble relaxing at night,Anxiety
14,feeling tense for no reason,Anxiety
15,mind keeps spinning,Anxiety
16,sweaty palms and racing heart,Anxiety
17,feeling on edge,Anxiety
18,nervous without cause,Anxiety
19,mind keeps spinning,Anxiety
20,heart racing all day,Anxiety
21,feeling on edge,Anxiety
22,nervous without cause,Anxiety
23,hard to calm my mind,Anxiety
24,trouble relaxing at night,Anxiety
25,can't stop overthinking,Anxiety
26,trouble relaxing at night,Anxiety
27,nervous without cause,Anxiety
28,can't stop overthinking,Anxiety
29,nervous without cause,Anxiety
30,trouble relaxing at night,Anxiety
31,mind keeps spinning,Anxiety
32,restless and uneasy,Anxiety
33,sweaty palms and racing heart,Anxiety
34,can't stop overthinking,Anxiety
35,trouble relaxing at night,Anxiety
36,feeling on edge,Anxiety
37,nervous without cause,Anxiety
38,feeling on edge,Anxiety
39,nervous without cause,Anxiety
40,hard to calm my mind,Anxiety
41,trouble relaxing at night,Anxiety
42,trouble relaxing at night,Anxiety
43,sweaty palms and racing heart,Anxiety
44,heart racing all day,Anxiety
45,feeling on edge,Anxiety
46,feeling on edge,Anxiety
47,restless and uneasy,Anxiety
48,nervous without cause,Anxiety
49,heart racing all day,Anxiety
50,hard to calm my mind,Anxiety
51,trouble relaxing at night,Anxiety
52,feeling tense for no reason,Anxiety
53,feeling on edge,Anxiety
54,trouble relaxing at night,Anxiety
55,sweaty palms and racing heart,Anxiety
56,feeling on edge,Anxiety
57,nervous without cause,Anxiety
58,nervous without cause,Anxiety
59,feeling on edge,Anxiety
60,nervous without cause,Anxiety
61,trouble relaxing at night,Anxiety
62,trouble relaxing at night,Anxiety
63,hard to calm my mind,Anxiety
64,mind keeps spinning,Anxiety
65,mind keeps spinning,Anxiety
66,heart racing all day,Anxiety
67,heart racing all day,Anxiety
68,nervous without cause,Anxiety
69,restless and uneasy,Anxiety
70,feeling on edge,Anxiety
71,can't stop overthinking,Anxiety
72,mind keeps spinning,Anxiety
73,heart racing all day,Anxiety
74,trouble relaxing at night,Anxiety
75,mind keeps spinning,Anxiety
76,restless and uneasy,Anxiety
77,feeling on edge,Anxiety
78,hard to calm my mind,Anxiety
79,sweaty palms and racing heart,Anxiety
80,feeling on edge,Anxiety
81,mind keeps spinning,Anxiety
82,feeling on edge,Anxiety
83,sweaty palms and racing heart,Anxiety
84,nervous without cause,Anxiety
85,feeling on edge,Anxiety
86,can't stop overthinking,Anxiety
87,mind keeps spinning,Anxiety
88,heart racing all day,Anxiety
89,can't stop overthinking,Anxiety
90,hard to calm my mind,Anxiety
91,feeling on edge,Anxiety
92,nervous without cause,Anxiety
93,mind keeps spinning,Anxiety
94,sweaty palms and racing heart,Anxiety
95,nervous without cause,Anxiety
96,sweaty palms and racing heart,Anxiety
97,can't stop overthinking,Anxiety
98,feeling on edge,Anxiety
99,mind keeps spinning,Anxiety
100,can't stop overthinking,Anxiety
101,heart racing all day,Anxiety
102,feeling tense for no reason,Anxiety
103,heart racing all day,Anxiety
104,feeling tense for no reason,Anxiety
105,sweaty palms and racing heart,Anxiety
106,can't stop overthinking,Anxiety
107,heart racing all day,Anxiety
108,restless and uneasy,Anxiety
109,feeling tense for no reason,Anxiety
110,can't stop overthinking,Anxiety
111,feeling on edge,Anxiety
112,restless and uneasy,Anxiety
113,feeling tense for no reason,Anxiety
114,restless and uneasy,Anxiety
115,trouble relaxing at night,Anxiety
116,feeling on edge,Anxiety
117,feeling on edge,Anxiety
118,sweaty palms and racing heart,Anxiety
119,can't stop overthinking,Anxiety
120,hard to calm my mind,Anxiety
121,heart racing all day,Anxiety
122,mind keeps spinning,Anxiety
123,trouble relaxing at night,Anxiety
124,restless and uneasy,Anxiety
125,feeling tense for no reason,Anxiety
126,heart racing all day,Anxiety
127,feeling tense for no reason,Anxiety
128,feeling tense for no reason,Anxiety
129,restless and uneasy,Anxiety
130,trouble relaxing at night,Anxiety
131,trouble relaxing at night,Anxiety
132,restless and uneasy,Anxiety
133,nervous without cause,Anxiety
134,sweaty palms and racing heart,Anxiety
135,hard to calm my mind,Anxiety
136,restless and uneasy,Anxiety
137,mind keeps spinning,Anxiety
138,nervous without cause,Anxiety
139,sweaty palms and racing heart,Anxiety
140,nervous without cause,Anxiety
141,feeling tense for no reason,Anxiety
142,heart racing all day,Anxiety
143,feeling on edge,Anxiety
144,trouble relaxing at night,Anxiety
145,feeling on edge,Anxiety
146,nervous without cause,Anxiety
147,trouble relaxing at night,Anxiety
148,feeling tense for no reason,Anxiety
149,mind keeps spinning,Anxiety
150,nervous without cause,Anxiety
151,restless and uneasy,Anxiety
152,nervous without cause,Anxiety
153,sweaty palms and racing heart,Anxiety
154,hard to calm my mind,Anxiety
155,trouble relaxing at night,Anxiety
156,heart racing all day,Anxiety
157,feeling on edge,Anxiety
158,nervous without cause,Anxiety
159,feeling tense for no reason,Anxiety
160,feeling on edge,Anxiety
161,heart racing all day,Anxiety
162,mind keeps spinning,Anxiety
163,feeling on edge,Anxiety
164,can't stop overthinking,Anxiety
165,feeling on edge,Anxiety
166,nervous without cause,Anxiety
167,trouble relaxing at night,Anxiety
168,hard to calm my mind,Anxiety
169,can't stop overthinking,Anxiety
170,hard to calm my mind,Anxiety
171,can't stop overthinking,Anxiety
172,sweaty palms and racing heart,Anxiety
173,trouble relaxing at night,Anxiety
174,restless and uneasy,Anxiety
175,restless and uneasy,Anxiety
176,heart racing all day,Anxiety
177,heart racing all day,Anxiety
178,feeling on edge,Anxiety
179,sweaty palms and racing heart,Anxiety
180,hard to calm my mind,Anxiety
181,heart racing all day,Anxiety
182,mind keeps spinning,Anxiety
183,heart racing all day,Anxiety
184,hard to calm my mind,Anxiety
185,restless and uneasy,Anxiety
186,feeling on edge,Anxiety
187,nervous without cause,Anxiety
188,heart racing all day,Anxiety
189,trouble relaxing at night,Anxiety
190,hard to calm my mind,Anxiety
191,can't stop overthinking,Anxiety
192,mind keeps spinning,Anxiety
193,trouble relaxing at night,Anxiety
194,hard to calm my mind,Anxiety
195,sweaty palms and racing heart,Anxiety
196,feeling on edge,Anxiety
197,sweaty palms and racing heart,Anxiety
198,can't stop overthinking,Anxiety
199,trouble relaxing at night,Anxiety
200,feeling on edge,Anxiety
201,sweaty palms and racing heart,Anxiety
202,feeling tense for no reason,Anxiety
203,can't stop overthinking,Anxiety
204,feeling on edge,Anxiety
205,sweaty palms and racing heart,Anxiety
206,feeling tense for no reason,Anxiety
207,trouble relaxing at night,Anxiety
208,mind keeps spinning,Anxiety
209,mind keeps spinning,Anxiety
210,trouble relaxing at night,Anxiety
211,heart racing all day,Anxiety
212,nervous without cause,Anxiety
213,hard to calm my mind,Anxiety
214,mind keeps spinning,Anxiety
215,trouble relaxing at night,Anxiety
216,feeling on edge,Anxiety
217,feeling on edge,Anxiety
218,heart racing all day,Anxiety
219,trouble relaxing at night,Anxiety
220,hard to calm my mind,Anxiety
221,feeling tense for no reason,Anxiety
222,hard to calm my mind,Anxiety
223,can't stop overthinking,Anxiety
224,can't stop overthinking,Anxiety
225,heart racing all day,Anxiety
226,feeling tense for no reason,Anxiety
227,heart racing all day,Anxiety
228,hard to calm my mind,Anxiety
229,feeling on edge,Anxiety
230,trouble relaxing at night,Anxiety
231,heart racing all day,Anxiety
232,hard to calm my mind,Anxiety
233,sweaty palms and racing heart,Anxiety
234,trouble relaxing at night,Anxiety
235,heart racing all day,Anxiety
236,feeling on edge,Anxiety
237,restless and uneasy,Anxiety
238,hard to calm my mind,Anxiety
239,nervous without cause,Anxiety
240,heart racing all day,Anxiety
241,trouble relaxing at night,Anxiety
242,feeling tense for no reason,Anxiety
243,heart racing all day,Anxiety
244,sweaty palms and racing heart,Anxiety
245,hard to calm my mind,Anxiety
246,nervous without cause,Anxiety
247,heart racing all day,Anxiety
248,restless and uneasy,Anxiety
249,feeling on edge,Anxiety
250,feeling tense for no reason,Anxiety
251,nervous without cause,Anxiety
252,hard to calm my mind,Anxiety
253,trouble relaxing at night,Anxiety
254,heart racing all day,Anxiety
255,restless and uneasy,Anxiety
256,trouble relaxing at night,Anxiety
257,can't stop overthinking,Anxiety
258,can't stop overthinking,Anxiety
259,sweaty palms and racing heart,Anxiety
260,heart racing all day,Anxiety
261,nervous without cause,Anxiety
262,sweaty palms and racing heart,Anxiety
263,sweaty palms and racing heart,Anxiety
264,heart racing all day,Anxiety
265,nervous without cause,Anxiety
266,heart racing all day,Anxiety
267,mind keeps spinning,Anxiety
268,trouble relaxing at night,Anxiety
269,mind keeps spinning,Anxiety
270,heart racing all day,Anxiety
271,feeling tense for no reason,Anxiety
272,hard to calm my mind,Anxiety
273,heart racing all day,Anxiety
274,nervous without cause,Anxiety
275,restless and uneasy,Anxiety
276,feeling on edge,Anxiety
277,mind keeps spinning,Anxiety
278,trouble relaxing at night,Anxiety
279,hard to calm my mind,Anxiety
